需求方,设计师,任务编号,能力标签,交易价格,发布时间
最近发生好多事,左右广告策划有限公司qq一九一三八四三五九七,任务编号：490221,网站UI设计,500.0,2017-04-07
mf178****3278,高端品牌网站设计,任务编号：490193,网站UI设计,1000.0,2017-04-07
若水老汉,雨夜设计工作室,任务编号：481947,软件UI设计,360.0,2017-03-09
o58be07007f07d,小灰爷爷工作室,任务编号：481784,网站UI设计,800.0,2017-03-09
香家,高端品牌网站设计,任务编号：481453,网站UI设计,2000.0,2017-03-08
mf186****8989,指上规划,任务编号：479446,网站UI设计,500.0,2017-03-01
o58a9a3c5800b3,仕雅传媒,任务编号：476783,网站UI设计,300.0,2017-02-19
vitorru,速 豹 品 牌 设 计,任务编号：474492,软件UI设计,500.0,2017-02-10
mf139****8671,竹叶常青设计工作室,任务编号：469415,网站UI设计,1200.0,2017-01-06
古唐设计,阿伟前端,任务编号：467591,网站UI设计,500.0,2016-12-27
mf139****8671,重彩工作室,任务编号：466342,网站UI设计,500.0,2016-12-22
渔人码头,呓哩科技,任务编号：461489,APP界面设计,300.0,2016-11-29
展翅飞xiang,CG风暴,任务编号：460951,网站UI设计,1000.0,2016-11-26
mf139****8671,仕雅传媒,任务编号：457886,网站UI设计,500.0,2016-11-12
o53c3****5996c,爱设工作室,任务编号：457441,软件UI设计,300.0,2016-11-11
o53c3****5996c,河北匠灵信息科技有限公司,任务编号：456636,软件UI设计,300.0,2016-11-08
Mr138****8870,浙江传媒学院FM工作室,任务编号：454279,软件UI设计,100.0,2016-10-28
o5483e5e907526,小枫视觉,任务编号：454736,APP开发,500.0,2016-10-31
o580eed3ba8f0d,精瀚堂品牌设计策划,任务编号：453398,软件UI设计,300.0,2016-10-25
o580b****426ee,新月创意,任务编号：452732,软件UI设计,300.0,2016-10-22
o55949eda1c2f8,创启网络科技,任务编号：452486,网站UI设计,500.0,2016-10-21
jingbaishui,新月创意,任务编号：448643,软件UI设计,100.0,2016-09-29
jingbaishui,新月创意,任务编号：448227,软件UI设计,150.0,2016-09-27
mf171****2070,创启网络科技,任务编号：446210,网站UI设计,550.0,2016-09-14
mf181****2172,诚意设计,任务编号：441101,小程序开发,500.0,2016-08-19
北京创宇通,零度网络科技工作室,任务编号：430445,网站UI设计,500.0,2016-06-27
o575e5b633e724,嘀嗒嗖UI视觉LOGO吉祥物IP,任务编号：427277,网站UI设计,500.0,2016-06-13
mf138****1821,上海朔际网络科技有限公司,任务编号：423315,网站UI设计,500.0,2016-05-24
o573fda0f16150,玩艺设计工作室,任务编号：422902,软件UI设计,150.0,2016-05-21
woojay,点点术士,任务编号：422005,软件UI设计,500.0,2016-05-17
epwkdxm,清风徐来工作室,任务编号：418435,企业官网,1500.0,2016-04-27
拾信拾信,千景品牌设计,任务编号：417482,软件UI设计,500.0,2016-04-22
方枪枪1986,skymifan,任务编号：413478,网站UI设计,200.0,2016-04-01
mf186****7918,厦门起梦网络科技有限公司,任务编号：407418,网站UI设计,1000.0,2016-03-02
FatalError,思启1190,任务编号：401605,企业官网,500.0,2016-01-14
niuren,凡想创意 / fine.create_专注于互联网品牌设计,任务编号：400454,网站UI设计,500.0,2016-01-07
lynnxyer,惊喜设计,任务编号：397970,网站UI设计,400.0,2015-12-22
donnapao,竹叶常青设计工作室,任务编号：393989,网站UI设计,200.0,2015-11-27
mf186****5526,warran的店铺,任务编号：388106,网站UI设计,800.0,2015-10-28
hjy25****8,创龙轩设计,任务编号：385531,前端开发,100.0,2015-10-16
精诚飞越,骏科网络,任务编号：385207,网站UI设计,350.0,2015-10-15
龚先生6691,松子设计工作室,任务编号：384123,APP界面设计,800.0,2015-10-10
罗宾,迷仙儿设计,任务编号：383657,网站UI设计,100.0,2015-10-08
mf137****2040,柠檬设计工作室,任务编号：379654,APP界面设计,600.0,2015-09-15
adiy289914,伯益设计工作室,任务编号：374970,网站UI设计,100.0,2015-08-24
mf136****1114,竹叶常青设计工作室,任务编号：362204,网站UI设计,500.0,2015-06-25
o5555cea16a81d,竹叶常青设计工作室,任务编号：357679,网站UI设计,300.0,2015-06-04
o5555cea16a81d,锐诚工作室,任务编号：357674,网站UI设计,300.0,2015-06-04
mf137****6956,缪斯美创,任务编号：347411,软件UI设计,300.0,2015-04-21
w3liu,济南正瀚网络科技有限公司,任务编号：343875,网站UI设计,500.0,2015-04-06
mf137****8266,A新萝卜-最实惠,任务编号：339995,软件UI设计,300.0,2015-03-23
Jerry贾利,薇光软件视觉,任务编号：337555,APP界面设计,300.0,2015-03-14
BCIzhongguo,RyunD,任务编号：335049,APP界面设计,360.0,2015-03-03
yancunshan,渲染精彩,任务编号：335295,网站UI设计,600.0,2015-03-04
cqfuge,良葱网络科技有限公司,任务编号：333896,网站UI设计,400.0,2015-02-24
博华电力,正壹（山东）网络设计,任务编号：326126,网站UI设计,360.0,2015-01-06
jeffer,深圳隽品设计策划有限公司,任务编号：326198,APP界面设计,1000.0,2015-01-06
Mr137****9868,赳赳软件有限公司,任务编号：323239,网站UI设计,200.0,2014-12-20
Mr137****9868,赳赳软件有限公司,任务编号：323240,网站UI设计,200.0,2014-12-20
Mr137****9868,晟夕设计,任务编号：323242,网站UI设计,200.0,2014-12-20
Mr137****9868,艺中人传媒,任务编号：323243,网站UI设计,200.0,2014-12-20
qiguzh,G.D.s,任务编号：322651,软件UI设计,110.0,2014-12-17
将军与士兵,新媒体工作室,任务编号：322551,APP界面设计,400.0,2014-12-17
lgd073,竹叶常青设计工作室,任务编号：315924,软件UI设计,150.0,2014-11-12
mf187****8282,柒彩明扬,任务编号：315352,软件UI设计,300.0,2014-11-09
