Source,Target,Type
B1037984,门户网站,完成
A1038041,包装设计,发布
B1038041,包装设计,完成
A1038133,排版设计,发布
B1038133,排版设计,完成
A1038311,产品原型设计,发布
B1038311,产品原型设计,完成
A1038316,APP开发,发布
B1038316,APP开发,完成
A1038317,网站二次开发,发布
B1038317,网站二次开发,完成
A1038322,VI设计,发布
B1038322,VI设计,完成
A1038592,APP界面设计,发布
B1038592,APP界面设计,完成
A1038611,其他网站,发布
B1038611,其他网站,完成
A1038813,游戏其他,发布
B1038813,游戏其他,完成
A1039043,LOGO设计,发布
B1039043,LOGO设计,完成
A1039195,小程序开发,发布
B1039195,小程序开发,完成
A1039242,LOGO设计,发布
B1039242,LOGO设计,完成
A1039243,包装设计,发布
B1039243,包装设计,完成
A1039252,海报设计,发布
B1039252,海报设计,完成
A1039253,宣传册设计,发布
B1039253,宣传册设计,完成
A1039256,其他宣传品设计,发布
B1039256,其他宣传品设计,完成
A1039328,嵌入式软件,发布
B1039328,嵌入式软件,完成
A1039569,书籍装帧,发布
B1039569,书籍装帧,完成
A1039591,包装设计,发布
B1039591,包装设计,完成
A1039615,小程序开发,发布
B1039615,小程序开发,完成
A1039626,VR场景,发布
B1039626,VR场景,完成
A1039720,抖音代运营,发布
B1039720,抖音代运营,完成
A1039721,抖音代运营,发布
B1039721,抖音代运营,完成
A1039722,抖音代运营,发布
B1039722,抖音代运营,完成
A1039724,抖音代运营,发布
B1039724,抖音代运营,完成
A1039725,抖音代运营,发布
B1039725,抖音代运营,完成
A1039726,抖音代运营,发布
B1039726,抖音代运营,完成
A1039727,抖音代运营,发布
B1039727,抖音代运营,完成
A1039728,抖音代运营,发布
B1039728,抖音代运营,完成
A1039729,抖音代运营,发布
B1039729,抖音代运营,完成
A1039731,三维动画,发布
B1039731,三维动画,完成
A1039732,三维动画,发布
B1039732,三维动画,完成
A1039733,三维动画,发布
B1039733,三维动画,完成
A1039734,三维动画,发布
B1039734,三维动画,完成
A1039737,三维动画,发布
B1039737,三维动画,完成
A1039738,三维动画,发布
B1039738,三维动画,完成
A1039739,动画制作,发布
B1039739,动画制作,完成
A1039740,动画制作,发布
B1039740,动画制作,完成
A1039763,动画制作,发布
B1039763,动画制作,完成
A1039764,动画制作,发布
B1039764,动画制作,完成
A1039765,动画制作,发布
B1039765,动画制作,完成
A1039767,动画制作,发布
B1039767,动画制作,完成
A1039768,动画制作,发布
B1039768,动画制作,完成
A1039769,动画制作,发布
B1039769,动画制作,完成
A1039770,动画制作,发布
B1039770,动画制作,完成
A1039771,产品视频,发布
B1039771,产品视频,完成
A1039773,产品视频,发布
B1039773,产品视频,完成
A1039775,产品视频,发布
B1039775,产品视频,完成
A1039778,产品视频,发布
B1039778,产品视频,完成
A1039779,产品视频,发布
B1039779,产品视频,完成
A1039780,产品视频,发布
B1039780,产品视频,完成
A1039784,广告片/MV,发布
B1039784,广告片/MV,完成
A1039831,广告片/MV,发布
B1039831,广告片/MV,完成
A1039832,广告片/MV,发布
B1039832,广告片/MV,完成
A1039833,产品视频,发布
B1039833,产品视频,完成
A1039841,企业宣传片,发布
B1039841,企业宣传片,完成
A1039842,企业宣传片,发布
B1039842,企业宣传片,完成
A1039843,视频定制,发布
B1039843,视频定制,完成
A1039844,视频定制,发布
B1039844,视频定制,完成
A1039846,视频定制,发布
B1039846,视频定制,完成
A1039847,视频定制,发布
B1039847,视频定制,完成
A1039848,视频定制,发布
B1039848,视频定制,完成
A1039851,视频定制,发布
B1039851,视频定制,完成
A1039852,视频定制,发布
B1039852,视频定制,完成
A1039853,创意短视频,发布
B1039853,创意短视频,完成
A1039858,创意短视频,发布
B1039858,创意短视频,完成
A1039861,创意短视频,发布
B1039861,创意短视频,完成
A1039863,创意短视频,发布
B1039863,创意短视频,完成
A1039864,创意短视频,发布
B1039864,创意短视频,完成
