Source,Target,Type
产品推广,任务编号：1044594,属于
动画制作,任务编号：1044648,属于
抖音视频,任务编号：1044654,属于
抖音视频,任务编号：1044655,属于
抖音视频,任务编号：1044656,属于
抖音视频,任务编号：1044657,属于
3D效果图,任务编号：1044660,属于
直播卖货,任务编号：1044661,属于
PS修图,任务编号：1044664,属于
淘宝视频,任务编号：1044666,属于
企业宣传片,任务编号：1044668,属于
企业宣传片,任务编号：1044669,属于
视频定制,任务编号：1044671,属于
专题片制作,任务编号：1044672,属于
创意短视频,任务编号：1044673,属于
其他短视频,任务编号：1044674,属于
Vlog/微电影,任务编号：1044676,属于
三维动画,任务编号：1044678,属于
三维动画,任务编号：1044679,属于
广告片/MV,任务编号：1044680,属于
书籍装帧,任务编号：1044779,属于
插画设计,任务编号：1044782,属于
VI设计,任务编号：1044794,属于
电商网站,任务编号：1044901,属于
数据采集,任务编号：1044906,属于
产品原型设计,任务编号：1044934,属于
小程序开发,任务编号：1045064,属于
H5开发,任务编号：1045095,属于
包装设计,任务编号：1045115,属于
网站二次开发,任务编号：1045118,属于
包装设计,任务编号：1045151,属于
LOGO设计,任务编号：1045168,属于
动画制作,任务编号：1045341,属于
抖音代运营,任务编号：1045343,属于
抖音视频,任务编号：1045347,属于
3D效果图,任务编号：1045349,属于
淘宝视频,任务编号：1045350,属于
直播卖货,任务编号：1045353,属于
PS修图,任务编号：1045354,属于
企业宣传片,任务编号：1045355,属于
企业宣传片,任务编号：1045357,属于
其他短视频,任务编号：1045358,属于
专题片制作,任务编号：1045359,属于
视频定制,任务编号：1045362,属于
创意短视频,任务编号：1045363,属于
剪辑服务,任务编号：1045367,属于
剪辑服务,任务编号：1045368,属于
三维动画,任务编号：1045369,属于
广告片/MV,任务编号：1045370,属于
VI设计,任务编号：1045517,属于
海报设计,任务编号：1045610,属于
LOGO设计,任务编号：1045619,属于
模板建站,任务编号：1045802,属于
网站UI设计,任务编号：1045872,属于
脚本开发,任务编号：1046021,属于
网站二次开发,任务编号：1046153,属于
APP开发,任务编号：1046156,属于
动画制作,任务编号：1046199,属于
淘宝视频,任务编号：1046205,属于
直播卖货,任务编号：1046206,属于
专题片制作,任务编号：1046208,属于
其他短视频,任务编号：1046210,属于
创意短视频,任务编号：1046213,属于
广告片/MV,任务编号：1046215,属于
PS修图,任务编号：1046216,属于
三维动画,任务编号：1046220,属于
3D效果图,任务编号：1046222,属于
交互设计,任务编号：1046307,属于
VI设计,任务编号：1046316,属于
其他软件开发,任务编号：1046361,属于
小程序开发,任务编号：1046468,属于
H5开发,任务编号：1046767,属于
产品原型设计,任务编号：1046770,属于
包装设计,任务编号：1046847,属于
小程序开发,任务编号：1046889,属于
系统工具,任务编号：1046934,属于
淘宝视频,任务编号：1046937,属于
直播卖货,任务编号：1046938,属于
广告片/MV,任务编号：1046939,属于
动画制作,任务编号：1046940,属于
其他短视频,任务编号：1046941,属于
PS修图,任务编号：1046942,属于
创意短视频,任务编号：1046943,属于
专题片制作,任务编号：1046944,属于
三维动画,任务编号：1046945,属于
剪辑服务,任务编号：1046946,属于
3D效果图,任务编号：1046948,属于
企业宣传片,任务编号：1046949,属于
H5开发,任务编号：1047035,属于
H5开发,任务编号：1047096,属于
图像识别,任务编号：1047159,属于
H5开发,任务编号：1047160,属于
淘宝视频,任务编号：1047245,属于
广告片/MV,任务编号：1047246,属于
创意短视频,任务编号：1047247,属于
直播卖货,任务编号：1047248,属于
专题片制作,任务编号：1047249,属于
PS修图,任务编号：1047250,属于
3D效果图,任务编号：1047251,属于
三维动画,任务编号：1047252,属于
其他短视频,任务编号：1047253,属于
动画制作,任务编号：1047255,属于
H5开发,任务编号：1047329,属于
包装设计,任务编号：1047508,属于
定制开发,任务编号：1047546,属于
VI设计,任务编号：1047614,属于
API接口,任务编号：1047682,属于
API接口,任务编号：1047686,属于
包装设计,任务编号：1047823,属于
小程序开发,任务编号：1047866,属于
H5开发,任务编号：1047876,属于
淘宝视频,任务编号：1047905,属于
广告片/MV,任务编号：1047907,属于
其他短视频,任务编号：1047909,属于
3D效果图,任务编号：1047910,属于
动画制作,任务编号：1047914,属于
PS修图,任务编号：1047917,属于
定制开发,任务编号：1047955,属于
书籍装帧,任务编号：1048101,属于
包装设计,任务编号：1048137,属于
宣传册设计,任务编号：1048221,属于
产品原型设计,任务编号：1048322,属于
响应式网站,任务编号：1048357,属于
包装设计,任务编号：1048391,属于
手游开发,任务编号：1048413,属于
运维服务,任务编号：1048429,属于
其他软件开发,任务编号：1048430,属于
小程序开发,任务编号：1048440,属于
交互设计,任务编号：1048459,属于
更多场景定制,任务编号：1048486,属于
包装设计,任务编号：1048589,属于
其他网站,任务编号：1048631,属于
APP开发,任务编号：1048704,属于
其他网站,任务编号：1048782,属于
APP开发,任务编号：1048808,属于
创意短视频,任务编号：1048927,属于
创意短视频,任务编号：1048928,属于
三维动画,任务编号：1048929,属于
三维动画,任务编号：1048930,属于
直播卖货,任务编号：1048936,属于
直播卖货,任务编号：1048937,属于
专题片制作,任务编号：1048938,属于
专题片制作,任务编号：1048939,属于
LOGO设计,任务编号：1049153,属于
彩页设计,任务编号：1049311,属于
小程序开发,任务编号：1049466,属于
其他软件开发,任务编号：1049523,属于
包装设计,任务编号：1049597,属于
包装设计,任务编号：1049671,属于
小程序开发,任务编号：1049807,属于
包装设计,任务编号：1049858,属于
H5开发,任务编号：1049918,属于
嵌入式软件,任务编号：1049985,属于
书籍装帧,任务编号：1050031,属于
APP开发,任务编号：1050141,属于
动画制作,任务编号：1050337,属于
其他短视频,任务编号：1050349,属于
三维动画,任务编号：1050352,属于
淘宝视频,任务编号：1050355,属于
3D效果图,任务编号：1050356,属于
专题片制作,任务编号：1050357,属于
PS修图,任务编号：1050359,属于
直播卖货,任务编号：1050360,属于
广告片/MV,任务编号：1050362,属于
创意短视频,任务编号：1050363,属于
LOGO设计,任务编号：1050533,属于
产品推广,任务编号：1050534,属于
海报设计,任务编号：1050535,属于
LOGO设计,任务编号：1050536,属于
包装设计,任务编号：1050576,属于
脚本开发,任务编号：1050619,属于
小程序开发,任务编号：1050673,属于
包装设计,任务编号：1050676,属于
VI设计,任务编号：1050687,属于
LOGO设计,任务编号：1050717,属于
H5开发,任务编号：1050766,属于
H5开发,任务编号：1050830,属于
包装设计,任务编号：1050837,属于
封面设计,任务编号：1050988,属于
手游开发,任务编号：1050989,属于
插画设计,任务编号：1050992,属于
LOGO设计,任务编号：1051010,属于
小程序开发,任务编号：1051024,属于
APP开发,任务编号：1051028,属于
包装设计,任务编号：1051041,属于
其他软件开发,任务编号：1051113,属于
微信开发,任务编号：1051141,属于
其他软件开发,任务编号：1051264,属于
小程序开发,任务编号：1051273,属于
LOGO设计,任务编号：1051373,属于
SAAS软件,任务编号：1051456,属于
更多场景定制,任务编号：1051471,属于
其他工业设计,任务编号：1051489,属于
剪辑服务,任务编号：1051601,属于
小程序开发,任务编号：1051618,属于
H5开发,任务编号：1051824,属于
LOGO设计,任务编号：1051864,属于
APP开发,任务编号：1051894,属于
定制开发,任务编号：1051896,属于
APP开发,任务编号：1051923,属于
LOGO设计,任务编号：1051983,属于
广告片/MV,任务编号：1052406,属于
LOGO设计,任务编号：1052440,属于
脚本开发,任务编号：1052507,属于
小程序开发,任务编号：1052542,属于
运维服务,任务编号：1052626,属于
其他软件开发,任务编号：1052794,属于
其他软件开发,任务编号：1052796,属于
LOGO设计,任务编号：1052820,属于
LOGO设计,任务编号：1052854,属于
小程序开发,任务编号：1053057,属于
网站二次开发,任务编号：1053279,属于
海报设计,任务编号：1053370,属于
电话调查,任务编号：1053374,属于
产品原型设计,任务编号：1053401,属于
H5开发,任务编号：1053479,属于
淘宝/天猫代运营,任务编号：1053536,属于
包装设计,任务编号：1053605,属于
LOGO设计,任务编号：1053807,属于
