需求方,设计师,任务编号,能力标签,交易价格,发布时间
xiaohei1017,指上花开©品牌设计,任务编号：402834,包装设计,1500.0,2016-01-22
xia8248,逆行创意设计,任务编号：402534,广告设计,300.0,2016-01-20
mf136****2635,良工设计,任务编号：402431,插画设计,100.0,2016-01-19
mf136****2635,墨竹品牌设计,任务编号：402428,插画设计,150.0,2016-01-19
mf187****9583,如是设计,任务编号：402354,广告设计,300.0,2016-01-19
o569da2f956cbc,三火设计,任务编号：402328,LOGO设计,500.0,2016-01-19
Toveyhong,乐涂设计事务所,任务编号：402211,3D建模,200.0,2016-01-18
Mr135****2806,郑州一品堂设计,任务编号：401580,LOGO设计,100.0,2016-01-14
mf136****2635,竹叶常青设计工作室,任务编号：401390,LOGO设计,300.0,2016-01-13
mf136****2635,清如设计,任务编号：401388,日用百货,400.0,2016-01-13
mf136****2635,清如设计,任务编号：401387,日用百货,400.0,2016-01-13
mf136****2635,墨竹品牌设计,任务编号：401293,插画设计,700.0,2016-01-12
成都昊苍科技,指上花开©品牌设计,任务编号：401248,LOGO设计,500.0,2016-01-12
o5694ab34ae308,凡美广告有限公司,任务编号：401246,LOGO设计,200.0,2016-01-12
佳俊餐饮,浙江传媒学院FM工作室,任务编号：401011,VI设计,3000.0,2016-01-11
Toveyhong,snow设计工作室,任务编号：400814,海报设计,150.0,2016-01-09
chenmoumou,筑迹设计院,任务编号：400379,LOGO设计,600.0,2016-01-06
mf153****0918,福玖创意,任务编号：400689,卡通形象设计,1000.0,2016-01-08
广东德立教育集团,嘉禾文化,任务编号：400547,封面设计,600.0,2016-01-07
Mr186****6611,本末品牌策划设计,任务编号：400460,LOGO设计,300.0,2016-01-07
canglongxf,applelife 枫叶视觉设计,任务编号：400311,LOGO设计,200.0,2016-01-06
M1339****895,snow设计工作室,任务编号：400299,宣传册设计,800.0,2016-01-06
mf136****2635,竹叶常青设计工作室,任务编号：400217,LOGO设计,300.0,2016-01-05
mf136****2635,墨竹品牌设计,任务编号：400215,插画设计,180.0,2016-01-05
mf136****2635,竹叶常青设计工作室,任务编号：400094,LOGO设计,270.0,2016-01-05
o568b52521efdd,指上花开©品牌设计,任务编号：400102,动漫其他,700.0,2016-01-05
mf136****2635,墨竹品牌设计,任务编号：400095,插画设计,750.0,2016-01-05
peterhom,半爿设计,任务编号：400002,LOGO设计,200.0,2016-01-04
o568a266490bf5,美的橙设计,任务编号：399956,宣传册设计,1000.0,2016-01-04
o5687c14c308bc,半爿设计,任务编号：399752,LOGO设计,300.0,2016-01-02
mf136****2635,墨竹品牌设计,任务编号：399795,插画设计,200.0,2016-01-03
mf136****2635,竹叶常青设计工作室,任务编号：399565,LOGO设计,280.0,2015-12-31
mf136****2635,墨竹品牌设计,任务编号：399525,插画设计,200.0,2015-12-31
雷米高1,艾迪图创品牌设计机构,任务编号：399492,包装设计,200.0,2015-12-31
mf136****2635,宇光石 文创设计,任务编号：399471,插画设计,200.0,2015-12-31
mf136****2635,墨竹品牌设计,任务编号：399441,插画设计,800.0,2015-12-30
weida4333,不将就工作室,任务编号：399299,名片设计,100.0,2015-12-30
mf136****2635,竹叶常青设计工作室,任务编号：399326,LOGO设计,230.0,2015-12-30
遗忘沙漏,优歌品牌设计,任务编号：399267,LOGO设计,1500.0,2015-12-30
mf136****2635,竹叶常青设计工作室,任务编号：399247,LOGO设计,150.0,2015-12-29
mf136****2635,墨竹品牌设计,任务编号：399248,插画设计,250.0,2015-12-29
mf136****2635,墨竹品牌设计,任务编号：398978,插画设计,200.0,2015-12-28
