需求方,设计师,任务编号,能力标签,交易价格,发布时间
o5971cac77227b,茜仟,任务编号：845224,网店取名,200.0,2020-03-18
o5971cac77227b,品牌合作方,任务编号：845224,网店取名,200.0,2020-03-18
gudunongfu,hanqiaoso的店铺,任务编号：844204,品牌起名,3000.0,2020-03-15
gudunongfu,酱紫知识铺,任务编号：844204,品牌起名,3000.0,2020-03-15
charlo,o5e44c7cd8e554,任务编号：840439,店铺/网店起名,100.0,2020-03-02
charlo,心悦设计,任务编号：840439,店铺/网店起名,100.0,2020-03-02
o5cf4d975c953d,弑神天师,任务编号：837358,宝宝起名,100.0,2020-02-19
o5cf4d975c953d,彬银小铺,任务编号：837358,宝宝起名,100.0,2020-02-19
o5a9c0d352995b,o5d34069cab7b5,任务编号：834445,宝宝起名,100.0,2020-02-06
o5a9c0d352995b,o5e3852af1241d,任务编号：834445,宝宝起名,100.0,2020-02-06
o5e09bce04956e,愚游天下,任务编号：831866,广告策划,2000.0,2020-01-15
o5e09bce04956e,半缘君,任务编号：831866,广告策划,2000.0,2020-01-15
o5cff56a73a7fa,茜仟,任务编号：831651,品牌起名,300.0,2020-01-15
o5cff56a73a7fa,见证奇迹,任务编号：831651,品牌起名,300.0,2020-01-15
逆流而上001,Mr小发,任务编号：786537,品牌起名,600.0,2019-08-24
逆流而上001,sssdaojian,任务编号：786537,品牌起名,600.0,2019-08-24
才高八斗大先生,九龙文案,任务编号：830878,品牌起名,200.0,2020-01-12
才高八斗大先生,千灵 取名+logo设计,任务编号：830878,品牌起名,200.0,2020-01-12
long1****118,万思新的商铺,任务编号：827326,公司起名,300.0,2019-12-31
long1****118,艺点策划,任务编号：827326,公司起名,300.0,2019-12-31
神域的角落,o5928ed280b9c3,任务编号：827156,宝宝起名,100.0,2019-12-31
神域的角落,十月创意工作室,任务编号：827156,宝宝起名,100.0,2019-12-31
cnsufang,今天也没变成玩偶呢,任务编号：826626,品牌故事,300.0,2019-12-29
cnsufang,湖南口袋熊文化传媒有限公司,任务编号：826626,品牌故事,300.0,2019-12-29
o5c9863bdac491,o5d34069cab7b5,任务编号：825438,品牌起名,200.0,2019-12-25
o5c9863bdac491,仟仟™孤媒,任务编号：825438,品牌起名,200.0,2019-12-25
o5a081300ecd66,虎三,任务编号：820911,广告策划,2000.0,2019-12-11
o5a081300ecd66,o5df0817c2c7ad,任务编号：820911,广告策划,2000.0,2019-12-11
cngygy,心悦设计,任务编号：819651,宣传策划,100.0,2019-12-08
cngygy,左也,任务编号：819651,宣传策划,100.0,2019-12-08
o592a63a3449c4,类似芥末,任务编号：819418,品牌起名,330.0,2019-12-07
o592a63a3449c4,mtx521,任务编号：819418,品牌起名,330.0,2019-12-07
o592a63a3449c4,秒笔生花,任务编号：819415,公司起名,350.0,2019-12-07
o592a63a3449c4,hhh1130,任务编号：819415,公司起名,350.0,2019-12-07
ZebelHu,七斗创意,任务编号：817704,品牌起名,500.0,2019-12-02
ZebelHu,鲸点子设计,任务编号：817704,品牌起名,500.0,2019-12-02
edric1314,o5dc4cde218c54,任务编号：816761,品牌起名,1000.0,2019-11-28
edric1314,mf183****7259,任务编号：816761,品牌起名,1000.0,2019-11-28
mf137****3388,一品专家,任务编号：813287,公司起名,300.0,2019-11-18
mf137****3388,三边形意创品牌,任务编号：813287,公司起名,300.0,2019-11-18
o5c31****67f77,云影碧落,任务编号：813240,公司起名,200.0,2019-11-17
o5c31****67f77,勤劳多思,任务编号：813240,公司起名,200.0,2019-11-17
cngygy,mtx521,任务编号：812188,宣传策划,100.0,2019-11-13
cngygy,哈尔滨维挚文化传媒有限公司,任务编号：812188,宣传策划,100.0,2019-11-13
o5dc9154b98322,见证奇迹,任务编号：812059,品牌起名,100.0,2019-11-13
o5dc9154b98322,li1774528561的店铺,任务编号：812059,品牌起名,100.0,2019-11-13
jxjjs,o5dc9a497153cd,任务编号：811695,品牌起名,200.0,2019-11-12
jxjjs,今天也没变成玩偶呢,任务编号：811695,品牌起名,200.0,2019-11-12
edric1314,o5dbb8e8286bb6,任务编号：810727,品牌起名,1000.0,2019-11-08
edric1314,灵感创意设计,任务编号：810727,品牌起名,1000.0,2019-11-08
o5a1dff4a1e123,r1083898677,任务编号：810480,广告策划,500.0,2019-11-07
o5a1dff4a1e123,甲子设计,任务编号：810480,广告策划,500.0,2019-11-07
edric1314,聚贤庄,任务编号：808246,公司起名,1000.0,2019-11-01
edric1314,书澈广告,任务编号：808246,公司起名,1000.0,2019-11-01
mf186****9688,品一人生,任务编号：808177,品牌起名,300.0,2019-10-31
mf186****9688,一品专家,任务编号：808177,品牌起名,300.0,2019-10-31
mf186****9688,金海岸Design,任务编号：808175,项目策划,800.0,2019-10-31
mf186****9688,上海国际广告,任务编号：808175,项目策划,800.0,2019-10-31
cngygy,青桐居士,任务编号：808159,宣传策划,100.0,2019-10-31
cngygy,o5a35053f0bf15,任务编号：808159,宣传策划,100.0,2019-10-31
bxldrx,逍遥云上逍遥仙,任务编号：807739,公司起名,300.0,2019-10-30
bxldrx,MrTime,任务编号：807739,公司起名,300.0,2019-10-30
o5db55b829b6dd,九臣原创设计,任务编号：806703,公司起名,300.0,2019-10-27
o5db55b829b6dd,青桐居士,任务编号：806703,公司起名,300.0,2019-10-27
bobwyb,mtx521,任务编号：804462,广告策划,200.0,2019-10-20
bobwyb,玉兔儿原创工作室,任务编号：804462,广告策划,200.0,2019-10-20
queendie,jasmineyixin,任务编号：804305,营销推广软文,100.0,2019-10-19
queendie,童话家的凡凡,任务编号：804305,营销推广软文,100.0,2019-10-19
yuzuiweihe,红色的火焰,任务编号：803035,品牌起名,100.0,2019-10-15
yuzuiweihe,o5d9fd19d1ad0e,任务编号：803035,品牌起名,100.0,2019-10-15
铭萱妈妈,秋鸣紫枫,任务编号：800898,品牌起名,1200.0,2019-10-09
铭萱妈妈,wjpu123,任务编号：800898,品牌起名,1200.0,2019-10-09
htkm,艺点策划,任务编号：799933,品牌起名,200.0,2019-10-05
htkm,满天星设计铺,任务编号：799933,品牌起名,200.0,2019-10-05
o5d90d7b7b20c0,一场高烧,任务编号：799074,专业代笔,100.0,2019-09-30
o5d90d7b7b20c0,AYANABON,任务编号：799074,专业代笔,100.0,2019-09-30
o5ce5****26592,o5bf6582d32b02,任务编号：796265,爱情表白,100.0,2019-09-21
o5ce5****26592,o5d78ca5c6b09f,任务编号：796265,爱情表白,100.0,2019-09-21
未命名的名称,心有灵犀文字工坊,任务编号：796157,公司起名,100.0,2019-09-21
未命名的名称,青野标书方案定制,任务编号：796157,公司起名,100.0,2019-09-21
神人哟,o5a64bf320878c,任务编号：793767,宣传策划,106.0,2019-09-14
神人哟,102工作室,任务编号：793767,宣传策划,106.0,2019-09-14
o5d7af449cac6d,墟尘道人,任务编号：793592,品牌起名,100.0,2019-09-13
o5d7af449cac6d,传式-品牌智造,任务编号：793592,品牌起名,100.0,2019-09-13
o592a63a3449c4,科 觊 科,任务编号：792369,品牌起名,330.0,2019-09-09
o592a63a3449c4,wuwudo,任务编号：792369,品牌起名,330.0,2019-09-09
o5d734b434b005,CHP设计工作室,任务编号：791787,品牌起名,100.0,2019-09-07
o5d734b434b005,paxingzhe,任务编号：791787,品牌起名,100.0,2019-09-07
o5caade84810f1,FCHZ,任务编号：790344,品牌起名,150.0,2019-09-03
o5caade84810f1,酸性脾气,任务编号：790344,品牌起名,150.0,2019-09-03
