Source,Target,Type
任务编号：699241,knowledge:新春版,关联
任务编号：699241,knowledge:改版,关联
任务编号：699242,knowledge:二期功能,关联
任务编号：699247,knowledge:团购网站,关联
任务编号：699247,knowledge:app开发,关联
任务编号：699247,knowledge:一期,关联
任务编号：699249,knowledge:地产项目,关联
任务编号：699249,knowledge:设计提报,关联
任务编号：699251,knowledge:共享陪护床,关联
任务编号：699251,knowledge:小程序,关联
任务编号：699252,knowledge:房地产项目,关联
任务编号：699252,knowledge:提报,关联
任务编号：699253,knowledge:网站开发,关联
任务编号：699253,knowledge:定制网站,关联
任务编号：699253,knowledge:企业网站,关联
任务编号：699253,knowledge:购物商城,关联
任务编号：699253,knowledge:网站设计,关联
任务编号：699255,knowledge:餐饮配送,关联
任务编号：699255,knowledge:LOGO,关联
任务编号：699255,knowledge:字体设计,关联
任务编号：699261,knowledge:4qi,关联
任务编号：699267,knowledge:维权攻略,关联
任务编号：699267,knowledge:编制,关联
任务编号：699267,knowledge:权益保护,关联
任务编号：699268,knowledge:商城App,关联
任务编号：699268,knowledge:开发,关联
任务编号：699274,knowledge:企业VIS系统,关联
任务编号：699274,knowledge:手册,关联
任务编号：699276,knowledge:视频打赏,关联
任务编号：699276,knowledge:源码修改,关联
任务编号：699277,knowledge:企业标志,关联
任务编号：699277,knowledge:标志设计,关联
任务编号：699278,knowledge:商铺APP,关联
任务编号：699278,knowledge:端开发,关联
任务编号：699279,knowledge:考勤,关联
任务编号：699279,knowledge:APP,关联
任务编号：699279,knowledge:开发,关联
任务编号：699280,knowledge:小程序定制,关联
任务编号：699280,knowledge:开发,关联
任务编号：699280,knowledge:一期,关联
任务编号：699281,knowledge:蔬果商城,关联
任务编号：699281,knowledge:小程序,关联
任务编号：699301,knowledge:中期,关联
任务编号：699301,knowledge:全部,关联
任务编号：699321,knowledge:礼盒包装,关联
任务编号：699321,knowledge:设计,关联
任务编号：699323,knowledge:管理软件,关联
任务编号：699323,knowledge:开发,关联
任务编号：699329,knowledge:餐饮品牌,关联
任务编号：699329,knowledge:VI设计,关联
任务编号：699329,knowledge:全案,关联
任务编号：699335,knowledge:企业网站,关联
任务编号：699335,knowledge:建设,关联
任务编号：699341,knowledge:教育管理,关联
任务编号：699341,knowledge:软件开发,关联
任务编号：699342,knowledge:微信公众号,关联
任务编号：699342,knowledge:服务制作,关联
任务编号：699344,knowledge:微信公众号,关联
任务编号：699344,knowledge:服务制作,关联
任务编号：699344,knowledge:二期,关联
任务编号：699363,knowledge:小程序定制,关联
任务编号：699363,knowledge:二期开发,关联
任务编号：699364,knowledge:小程序定制,关联
任务编号：699364,knowledge:三期开发,关联
任务编号：699395,knowledge:电视节目,关联
任务编号：699395,knowledge:外包,关联
任务编号：699395,knowledge:第九集,关联
任务编号：699426,knowledge:bug修改,关联
任务编号：699433,knowledge:logo设计,关联
任务编号：699433,knowledge:企业商标,关联
任务编号：699433,knowledge:微信公众号LOGO设计,关联
任务编号：699433,knowledge:餐饮卡通,关联
任务编号：699441,knowledge:PPT设计,关联
任务编号：699471,knowledge:自助餐,关联
任务编号：699471,knowledge:logo,关联
任务编号：699482,knowledge:品牌包装,关联
任务编号：699482,knowledge:设计,关联
任务编号：699483,knowledge:管理系统,关联
任务编号：699484,knowledge:管理系统,关联
任务编号：699485,knowledge:管理系统,关联
任务编号：699494,knowledge:二手车报价,关联
任务编号：699494,knowledge:小程序开发,关联
任务编号：699496,knowledge:小程序,关联
任务编号：699496,knowledge:二次开发,关联
任务编号：699519,knowledge:移动应用开发,关联
任务编号：699519,knowledge:跑腿服务,关联
任务编号：699519,knowledge:家政服务,关联
任务编号：699519,knowledge:上门服务,关联
任务编号：699519,knowledge:汽车服务,关联
任务编号：699519,knowledge:母婴服务,关联
任务编号：699521,knowledge:分销商城,关联
任务编号：699521,knowledge:平台开发,关联
任务编号：699521,knowledge:一期,关联
任务编号：699523,knowledge:分销商城,关联
任务编号：699523,knowledge:平台开发,关联
任务编号：699523,knowledge:二期,关联
任务编号：699525,knowledge:多商户商城,关联
任务编号：699525,knowledge:APP开发,关联
任务编号：699525,knowledge:购物商城,关联
任务编号：699525,knowledge:点餐,关联
任务编号：699525,knowledge:团购,关联
任务编号：699525,knowledge:生鲜,关联
任务编号：699525,knowledge:超市,关联
任务编号：699527,knowledge:高级礼盒,关联
任务编号：699527,knowledge:设计,关联
任务编号：699529,knowledge:微信公众号,关联
任务编号：699529,knowledge:开发,关联
任务编号：699530,knowledge:金融理财,关联
任务编号：699530,knowledge:软件,关联
任务编号：699532,knowledge:物业管理,关联
任务编号：699532,knowledge:软件开发,关联
任务编号：699533,knowledge:支付宝小程序,关联
任务编号：699533,knowledge:百度小程序,关联
任务编号：699533,knowledge:微信小程序,关联
任务编号：699553,knowledge:资产管理,关联
任务编号：699553,knowledge:软件开发,关联
任务编号：699554,knowledge:教育教学软件,关联
任务编号：699554,knowledge:软件开发,关联
任务编号：699559,knowledge:视频直播,关联
