id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
物流行业,物流行业,2022,2014,0,2.0,2,1680.0,980.0,490.0
童装品牌,童装品牌,2022,2014,0,2.0,3,3800.0,3300.0,1100.0
简约风,简约风,2022,2015,0,1.0,1,1000.0,500.0,500.0
机械设计,机械设计,2022,2015,0,4.0,2,14000.0,13000.0,6500.0
孙先生,孙先生,2022,2017,0,8.0,3,12000.0,9000.0,3000.0
初创企业,初创企业,2022,2015,0,3.0,2,4000.0,2500.0,1250.0
吕先生,吕先生,2022,2018,0,1.0,1,1000.0,300.0,300.0
林先生,林先生,2022,2018,0,3.0,3,5000.0,5000.0,1666.6666666666667
麋鹿,麋鹿,2022,2017,0,1.0,1,2000.0,1000.0,1000.0
萍乡市,萍乡市,2022,2019,0,0.0,1,1000.0,750.0,750.0
江西,江西,2022,2016,0,1.0,2,3000.0,1950.0,975.0
四川省,四川省,2022,2020,0,4.0,3,3200.0,2088.0,696.0
袋装设计,袋装设计,2022,2016,0,2.0,2,5000.0,3600.0,1800.0
山西,山西,2022,2015,0,1.0,1,1000.0,600.0,600.0
毛绒玩具,毛绒玩具,2022,2014,0,1.0,1,2000.0,1700.0,1700.0
照片素材,照片素材,2022,2016,0,1.0,1,1000.0,500.0,500.0
食品行业logo,食品行业logo,2022,2017,0,3.0,1,1000.0,500.0,500.0
产品效果图,产品效果图,2022,2015,0,1.0,1,1000.0,400.0,400.0
原型图,原型图,2022,2015,0,2.0,3,8000.0,8300.0,2766.6666666666665
抄袭,抄袭,2022,2015,0,1.0,1,4000.0,4300.0,4300.0
原创思维,原创思维,2022,2021,0,3.0,3,8000.0,8300.0,2766.6666666666665
solidworks,solidworks,2022,2017,0,0.0,1,1000.0,500.0,500.0
图,图,2022,2014,0,2.0,1,2000.0,1000.0,1000.0
刀具包装设计,刀具包装设计,2022,2017,0,2.0,1,1000.0,899.0,899.0
科技感十足,科技感十足,2022,2018,0,1.0,1,2000.0,1000.0,1000.0
不能太简单,不能太简单,2022,2019,0,1.0,1,2000.0,1500.0,1500.0
游戏场景,游戏场景,2022,2014,0,1.0,1,2000.0,1500.0,1500.0
品牌商标,品牌商标,2022,2014,0,4.0,2,2500.0,2400.0,1200.0
