需求方,设计师,任务编号,能力标签,交易价格,发布时间
k9064****6,银翼效果图设计表现,任务编号：963915,导视设计,15000.0,2021-10-06
k1886****6,简艺空间装饰设计,任务编号：966239,商业建筑,20000.0,2021-10-06
k2856****5,k531286305,任务编号：966245,医疗机构,10000.0,2021-10-05
k2327****8,淄博前景空间设计,任务编号：963944,复式设计,2500.0,2021-10-05
k1544****3,瀚蓝设计,任务编号：966821,工程造价,3000.0,2021-10-05
k2529****1,扬设计,任务编号：966244,医疗机构,20000.0,2021-10-05
k9095****8,京羿视觉装饰设计,任务编号：966232,商业建筑,50000.0,2021-10-05
k4842****8,k614912970,任务编号：966829,喷泉设计,15000.0,2021-10-05
k6226****5,力行空间设计,任务编号：966235,商业建筑,1000.0,2021-10-05
k8566****1,专职店铺设计,任务编号：966234,商业建筑,20000.0,2021-10-05
k3019****5,上海设计,任务编号：963912,导视设计,20000.0,2021-10-05
k4790****7,恩格曼艺术设计,任务编号：966830,喷泉设计,20000.0,2021-10-05
k7841****4,谷瑞空间营造设计工作室,任务编号：966054,喷泉设计,15000.0,2021-10-05
k4421****6,赫筑餐饮空间设计,任务编号：966818,工程造价,5000.0,2021-10-05
k7671****3,室内设计、灯光设计,任务编号：966233,商业建筑,20000.0,2021-10-05
k3114****6,乔帮主设计空间,任务编号：963945,复式设计,2500.0,2021-10-05
k2327****8,弘文尚品设计,任务编号：963911,导视设计,20000.0,2021-10-05
k2268****6,乾巢装饰设计,任务编号：963913,导视设计,8000.0,2021-10-05
k4519****9,k975930655,任务编号：966819,工程造价,4000.0,2021-10-05
k1935****3,k961182550,任务编号：966831,喷泉设计,15000.0,2021-10-05
k9558****1,南粤设计,任务编号：966372,娱乐休闲,2500.0,2021-10-05
k6371****8,恒瑾室内设计工作室,任务编号：964129,样板间,2500.0,2021-10-05
k2143****6,坤华设计工作室,任务编号：966820,工程造价,3000.0,2021-10-05
k3184****5,雅颂设计,任务编号：964130,样板间,2500.0,2021-10-05
k6198****9,HCL林志豪设计,任务编号：966560,自建房,1000.0,2021-10-05
k2268****7,IS空间设计,任务编号：965743,工程造价,4000.0,2021-10-04
k9281****5,山鸟设计（平面VI，商业空间设计）,任务编号：963939,复式设计,1000.0,2021-10-04
k7614****5,集简空间设计,任务编号：966226,商业建筑,3000.0,2021-10-04
k6340****1,麦田全案空间设计,任务编号：966225,商业建筑,3000.0,2021-10-04
k3272****4,婴知道设计,任务编号：966227,商业建筑,2500.0,2021-10-04
k6895****8,木子易空间设计,任务编号：964987,工程造价,4500.0,2021-10-04
k5456****4,k728114711,任务编号：966050,喷泉设计,20000.0,2021-10-04
k4932****8,壹零壹空间设计,任务编号：964988,工程造价,4500.0,2021-10-04
k7950****3,k427571464,任务编号：965249,商业建筑,20000.0,2021-10-04
k1683****4,k576963778,任务编号：963319,自建房,1000.0,2021-10-04
k8404****4,设计人花爷,任务编号：965893,喷泉设计,8000.0,2021-10-04
k8265****8,睿格设计工作室--3D效果图,任务编号：964125,样板间,3000.0,2021-10-04
k1711****0,集之品空间设计,任务编号：963318,自建房,3000.0,2021-10-04
k7726****3,威臣装饰工程设计,任务编号：964124,样板间,2500.0,2021-10-04
k8464****3,k129414321,任务编号：965894,喷泉设计,40000.0,2021-10-04
k6244****9,茗晟设计,任务编号：965895,喷泉设计,20000.0,2021-10-04
k2849****7,设计人花爷,任务编号：965246,商业建筑,1000.0,2021-10-03
k1683****4,印刻空间设计,任务编号：965245,商业建筑,20000.0,2021-10-03
k3407****4,鹰扬设计,任务编号：965244,商业建筑,50000.0,2021-10-03
k4882****7,k173928739,任务编号：964984,工程造价,5000.0,2021-10-03
k1439****0,四维室内设计工作室,任务编号：965247,商业建筑,800.0,2021-10-03
k9732****0,睿格设计工作室--3D效果图,任务编号：964982,工程造价,4500.0,2021-10-03
k8364****3,咫尺设计,任务编号：964981,工程造价,8000.0,2021-10-03
k7680****6,k890964452,任务编号：964985,工程造价,3000.0,2021-10-03
k4465****5,正臣工装装饰设计,任务编号：964983,工程造价,5000.0,2021-10-03
k8953****7,土狼装修设计,任务编号：964986,工程造价,3000.0,2021-10-03
k4291****5,山东北川设计,任务编号：963317,自建房,1000.0,2021-10-03
k4465****5,k603206090,任务编号：964143,医疗机构,8000.0,2021-10-03
k6574****6,乔帮主设计空间,任务编号：963935,复式设计,10000.0,2021-10-02
k9972****2,君道空间设计,任务编号：963910,导视设计,40000.0,2021-10-02
k5204****6,坤华设计工作室,任务编号：964616,娱乐休闲,4500.0,2021-10-02
k7267****6,大象工程设计,任务编号：964978,工程造价,3000.0,2021-10-02
k4548****0,大王设计工作室,任务编号：964976,工程造价,5000.0,2021-10-02
k4128****6,嘉品餐饮空间设计,任务编号：964977,工程造价,4500.0,2021-10-02
k6895****8,k865074339,任务编号：963934,复式设计,3000.0,2021-10-02
k1282****3,北易辰设计,任务编号：963314,自建房,1000.0,2021-10-02
k6093****1,俱东风文创设计,任务编号：965239,商业建筑,1000.0,2021-10-02
k8176****9,俱东风文创设计,任务编号：963313,自建房,1000.0,2021-10-02
k8987****7,品阁高端设计,任务编号：963312,自建房,1000.0,2021-10-02
k8458****1,天艮设计,任务编号：964121,样板间,1000.0,2021-10-02
k1921****3,静阁空间设计,任务编号：964773,工程造价,5000.0,2021-10-02
k8505****3,Lior力奥设计,任务编号：964772,工程造价,5000.0,2021-10-02
k1551****7,壹竖设计事务所,任务编号：963083,娱乐休闲,2500.0,2021-10-01
k7614****5,商用厨房设备设计,任务编号：962847,医疗机构,2500.0,2021-10-01
k5878****1,k999995508,任务编号：962846,样板间,700.0,2021-10-01
k3019****5,k886170732,任务编号：962848,医疗机构,3000.0,2021-10-01
k9064****6,小木匠形象设计机构,任务编号：962944,自建房,1000.0,2021-10-01
k1842****7,三创设计工作室,任务编号：963084,娱乐休闲,2000.0,2021-10-01
k3786****8,海佩空间设计事务所,任务编号：962947,工程造价,5000.0,2021-10-01
k8817****7,方楞室内设计,任务编号：962943,自建房,1000.0,2021-10-01
k1955****3,k233014984,任务编号：962801,复式设计,2000.0,2021-10-01
k7680****6,毕索思空间设计,任务编号：962941,娱乐休闲,2500.0,2021-10-01
k5117****9,壹文餐饮咨询设计,任务编号：962936,医疗机构,80000.0,2021-10-01
k3184****5,行者空间设计,任务编号：962844,样板间,2500.0,2021-10-01
k7477****5,莫宁空间设计,任务编号：962699,样板间,3000.0,2021-10-01
k9381****3,福人设计,任务编号：962692,复式设计,3000.0,2021-10-01
k4629****5,专职店铺设计,任务编号：962942,娱乐休闲,2000.0,2021-10-01
k5117****9,毕索思空间设计,任务编号：963087,娱乐休闲,4000.0,2021-10-01
k1909****2,吉艺设计,任务编号：962845,样板间,800.0,2021-10-01
k8363****8,美力和合设计,任务编号：962945,自建房,800.0,2021-10-01
k8550****5,建维青年设计,任务编号：962689,导视设计,40000.0,2021-10-01
k7719****4,集之品空间设计,任务编号：962688,导视设计,20000.0,2021-10-01
k4374****4,雨正,任务编号：962803,复式设计,800.0,2021-10-01
k1957****9,宇众设计工作室,任务编号：962693,复式设计,2500.0,2021-10-01
k6460****2,永空间设计,任务编号：962946,自建房,1000.0,2021-10-01
k5456****4,VIANO空间设计,任务编号：962935,医疗机构,3000.0,2021-10-01
k7892****3,小微餐饮设计公司,任务编号：962691,导视设计,35000.0,2021-10-01
k4790****7,k728114711,任务编号：961323,自建房,2500.0,2021-10-01
k4519****9,大象工程设计,任务编号：962695,复式设计,3000.0,2021-10-01
k2998****5,所见空间设计,任务编号：962843,样板间,2500.0,2021-10-01
k5846****2,艺浩空间设计,任务编号：962698,样板间,3000.0,2021-10-01
k5462****9,新枫尚设计_品牌,任务编号：963085,娱乐休闲,2500.0,2021-10-01
k6753****7,徐哲（独立设计师）,任务编号：963082,娱乐休闲,3000.0,2021-10-01
k4824****2,大地空间概念设计,任务编号：962464,导视设计,20000.0,2021-10-01
k3011****5,黑马创意装饰设计,任务编号：962461,导视设计,3000.0,2021-10-01
k6178****6,鹰目空间设计,任务编号：962694,复式设计,3000.0,2021-10-01
k1955****3,合和设计,任务编号：962463,导视设计,15000.0,2021-10-01
k1282****3,乔治室内设计,任务编号：962468,复式设计,3000.0,2021-10-01
k1821****2,集之品空间设计,任务编号：963324,工程造价,3000.0,2021-10-01
k5706****4,k573152429,任务编号：962462,导视设计,15000.0,2021-10-01
k5070****5,永空间设计,任务编号：963086,娱乐休闲,800.0,2021-10-01
k6497****6,领绘设计,任务编号：963302,自建房,600.0,2021-10-01
k1361****1,山谷空间设计,任务编号：962931,样板间,15000.0,2021-10-01
k2268****6,新简筑设计,任务编号：961325,商业建筑,5000.0,2021-10-01
k9093****5,锦轩装饰设计,任务编号：962690,导视设计,40000.0,2021-10-01
k7744****6,大王设计工作室,任务编号：962948,工程造价,4500.0,2021-10-01
k1711****6,k898619036,任务编号：963323,工程造价,1000.0,2021-10-01
k2327****8,顶构定制家具展厅设计,任务编号：962507,导视设计,15000.0,2021-10-01
k9732****0,k898619036,任务编号：962802,复式设计,1000.0,2021-10-01
k4465****5,南粤设计,任务编号：966864,医疗机构,3000.0,2021-09-30
k5064****6,北易辰设计,任务编号：966866,医疗机构,4000.0,2021-09-30
k3550****7,k666501960,任务编号：966865,医疗机构,1000.0,2021-09-30
k3305****4,途尚高端空间设计,任务编号：971421,娱乐休闲,4500.0,2021-09-30
k4406****7,大云设计工作室,任务编号：967739,娱乐休闲,2000.0,2021-09-30
k5846****2,k999995508,任务编号：971416,导视设计,40000.0,2021-09-30
k4915****6,艺浩空间设计,任务编号：971418,样板间,3000.0,2021-09-30
k9192****6,恩格曼艺术设计,任务编号：963925,导视设计,20000.0,2021-09-30
k7614****5,简筑空间创意设计,任务编号：971330,复式设计,2500.0,2021-09-30
k8328****9,k365143731,任务编号：971419,样板间,3000.0,2021-09-30
k2849****7,k999995508,任务编号：971420,医疗机构,80000.0,2021-09-30
k1330****1,盛合设计,任务编号：971331,导视设计,15000.0,2021-09-30
k6969****4,方楞室内设计,任务编号：966933,自建房,2500.0,2021-09-30
k5564****5,尔本室内设计,任务编号：971417,导视设计,40000.0,2021-09-30
k7671****3,途尚高端空间设计,任务编号：971303,样板间,3000.0,2021-09-29
k4402****0,毕索思空间设计,任务编号：967735,娱乐休闲,2500.0,2021-09-29
k1875****0,丁甲设计工作室,任务编号：971302,样板间,3000.0,2021-09-29
k7498****0,斑马设计工作室,任务编号：971328,复式设计,3000.0,2021-09-29
k9268****9,锦轩装饰设计,任务编号：967732,娱乐休闲,4000.0,2021-09-28
k4421****6,k531286305,任务编号：971301,样板间,1000.0,2021-09-27
k8397****5,小木匠形象设计机构,任务编号：966858,医疗机构,600.0,2021-09-26
k3444****6,格律设计,任务编号：966570,自建房,1000.0,2021-09-26
k4280****7,时与空设计,任务编号：964136,样板间,2500.0,2021-09-26
k5947****1,k664503132,任务编号：963924,导视设计,30000.0,2021-09-25
k8640****3,蓝色木棉设计,任务编号：966857,医疗机构,5000.0,2021-09-25
k8545****5,毕索思空间设计,任务编号：963923,导视设计,30000.0,2021-09-25
k7841****4,k129414321,任务编号：967728,娱乐休闲,2000.0,2021-09-20
k9972****2,致命的玩笑,任务编号：958276,其他家装服务,2000.0,2021-09-18
o61077f88805b7,ROC Design Studio（品牌定制）,任务编号：947656,效果图设计,1000.0,2021-08-02
o60a47c3246d78,深圳山河品牌顾问,任务编号：935632,效果图设计,4000.0,2021-05-20
o6033a91c9f902,广州品创商业空间店面设计（室内设计）,任务编号：920433,办公空间,3800.0,2021-02-22
o5fdf35ae0fc61,圆舟传媒,任务编号：911009,效果图设计,1300.0,2020-12-20
liying060811,绘梦笔文化创意,任务编号：910549,效果图设计,3000.0,2020-12-17
mf540f35ba066e1,普岚设计有限公司,任务编号：904757,店铺厂房,1000.0,2020-11-16
o5c3aabf2d9a68,普岚设计有限公司,任务编号：903236,门头设计,500.0,2020-11-07
k8779****01,概念视觉,任务编号：902295,软装设计,700.0,2020-11-03
南京德胜文化,XY1234567,任务编号：892193,效果图设计,300.0,2020-09-14
o5f1314ddd1e29,绘梦笔文化创意,任务编号：886628,餐饮饮食,1800.0,2020-08-20
sjj15389,爱岩文化传媒,任务编号：881072,效果图设计,500.0,2020-07-28
k7140****49,神彩源设计策划,任务编号：877627,效果图设计,400.0,2020-07-14
HeyBoy,TONYS,任务编号：853167,其他建筑设计,300.0,2020-04-15
o5d8481d6d7ec0,鲸跃传媒有限公司,任务编号：848473,施工图设计,1000.0,2020-03-30
小象体育培训,绘梦笔文化创意,任务编号：846404,商业空间,2800.0,2020-03-23
o5e71c0b44c5b5,神彩源设计策划,任务编号：845165,效果图设计,666.0,2020-03-18
o5e3a0e0aab839,鲸跃传媒有限公司,任务编号：834333,其他建筑设计,1000.0,2020-02-06
活在梦不知梦,爱岩文化传媒,任务编号：828771,效果图设计,250.0,2020-01-06
o5bf4a3b86f114,凰辰设计工作室,任务编号：828722,新房装修,360.0,2020-01-06
啊虎01,凰辰设计工作室,任务编号：822190,庭院设计,350.0,2019-12-16
o5de10580ad133,映善中国,任务编号：817819,展台展厅,2300.0,2019-12-02
麦子设计机构,昆明众石嘉创文化传播,任务编号：816405,效果图设计,600.0,2019-11-27
o5dabc9790d228,荣欣装饰,任务编号：805745,其他家装服务,100.0,2019-10-24
o5cbd8b1de2a78,映善中国,任务编号：799537,效果图设计,2700.0,2019-10-03
o5d4cd36da3156,上海暔尚广告设计公司,任务编号：781005,新房装修,400.0,2019-08-09
o5d00249cad111,上海暔尚广告设计公司,任务编号：779775,效果图设计,5000.0,2019-08-06
o5d3d4d3193b01,绘梦笔文化创意,任务编号：776794,效果图设计,500.0,2019-07-28
o5d1c61aed017f,绘梦笔文化创意,任务编号：767088,商业空间,688.0,2019-07-03
o5a49b4ef05af2,深圳市名刻设计事务所,任务编号：760275,其他建筑设计,380.0,2019-06-16
o5d05****0493c,爱岩文化传媒,任务编号：760243,效果图设计,500.0,2019-06-16
三一教育,威创设计工作室,任务编号：758266,新房装修,525.0,2019-06-11
o5cd8d2115ebe4,爱岩文化传媒,任务编号：746355,效果图设计,300.0,2019-05-13
o5cc70d0ae4515,饭饭设计@_@,任务编号：741319,效果图设计,999.0,2019-04-30
o5c932de701d49,创易建筑设计室,任务编号：738078,别墅设计,1000.0,2019-04-22
o5c89236d79bbe,yangyang2005229,任务编号：737864,效果图设计,3000.0,2019-04-22
o5cba7ad02ce51,威创设计工作室,任务编号：737262,效果图设计,3000.0,2019-04-20
mf131****0290,昆明众石嘉创文化传播,任务编号：736604,效果图设计,1000.0,2019-04-18
o5c21adee35ecf,上海暔尚广告设计公司,任务编号：736412,效果图设计,1500.0,2019-04-18
假装很闲,威创设计工作室,任务编号：724777,效果图设计,1100.0,2019-03-21
o5c7fb9e94754c,威创设计工作室,任务编号：722275,效果图设计,580.0,2019-03-16
o5c7f632172a72,威创设计工作室,任务编号：721990,效果图设计,800.0,2019-03-15
o5c7352b735b26,威创设计工作室,任务编号：714097,其他家装服务,900.0,2019-02-25
x1339****972,创易建筑设计室,任务编号：707754,别墅设计,1300.0,2019-01-28
o5c20a1a50ee83,威创设计工作室,任务编号：696278,新房装修,1350.0,2018-12-24
oyzp1818,饭饭设计@_@,任务编号：693375,施工图设计,999.0,2018-12-16
o5c038c490ab7c,三点水设计,任务编号：688654,效果图设计,500.0,2018-12-03
o5bea****31916,艺源三地景观工作,任务编号：681431,庭院设计,1000.0,2018-11-13
miaohan0823,友度品牌设计,任务编号：678330,效果图设计,5800.0,2018-11-05
o5bc74020d87de,饭饭设计@_@,任务编号：671283,其他家装服务,1000.0,2018-10-17
mf188****9230,南阳佳誉设计工程有限公司,任务编号：669852,效果图设计,800.0,2018-10-14
夏致画艺,饭饭设计@_@,任务编号：661704,新房装修,1500.0,2018-09-18
o5b98786d79038,走心建筑设计,任务编号：659239,店铺厂房,600.0,2018-09-12
mf139****3077,饭饭设计@_@,任务编号：656190,其他家装服务,999.0,2018-09-03
中帝商贸,魔术橙红创意设计,任务编号：654084,效果图设计,1000.0,2018-08-28
billmeng,o5b7b631d473d8,任务编号：648801,效果图设计,1000.0,2018-08-13
洪少,友度品牌设计,任务编号：644497,办公空间,700.0,2018-08-02
o5b4047c6c1b1a,厚名设计工作室,任务编号：634351,效果图设计,600.0,2018-07-07
木易影视工作室,走心建筑设计,任务编号：633145,其他家装服务,800.0,2018-07-04
像风一样123,常州九州设计,任务编号：631271,效果图设计,800.0,2018-06-29
seamansign,常州九州设计,任务编号：625374,效果图设计,600.0,2018-06-12
o5959d8972ca17,走心建筑设计,任务编号：624843,其他建筑设计,2800.0,2018-06-11
o5b10e5dbbf11f,道恩空间美学设计,任务编号：621421,效果图设计,800.0,2018-06-02
mf138****8669,昆明众石嘉创文化传播,任务编号：613069,效果图设计,1000.0,2018-05-13
Mr186****2683,ZM个人设计工作室,任务编号：603393,效果图设计,400.0,2018-04-17
o5ad16f4f037c7,饭饭设计@_@,任务编号：602413,效果图设计,1000.0,2018-04-14
o5a9b520534cdf,上海暔尚广告设计公司,任务编号：588908,效果图设计,1600.0,2018-03-09
o58cf2c77919c0,映善中国,任务编号：587877,效果图设计,3000.0,2018-03-07
o59e1bca53dacc,映善中国,任务编号：584309,施工图设计,7500.0,2018-02-26
o5a8e386b92252,南阳佳誉设计工程有限公司,任务编号：583286,施工图设计,1000.0,2018-02-22
o5a684f765f4d7,杳xSPACE,任务编号：577325,餐饮饮食,2720.0,2018-01-24
o5a56abbcef749,饭饭设计@_@,任务编号：572325,其他家装服务,999.0,2018-01-11
bety123,创易建筑设计室,任务编号：569695,施工图设计,1000.0,2018-01-03
king3****08,枫林空间设计工作室,任务编号：566588,施工图设计,800.0,2017-12-24
我路过99,做设计的华仔,任务编号：566133,单身公寓设计,500.0,2017-12-22
