Designer_ID,Deviation,Year,Volume,Entropy,Gini
xqq017,0.8921608475577737,2024,2.0,7.307395776526681,0.6463233931366826
yangxingjian,0.6686451979544226,2024,1.0,7.889422744374333,0.1234756560877367
​震撼工作室,0.5938802816212158,2024,10.000000000000002,9.380644477509188,0.3911235153294499
一叶知秋CC设计,0.4228617334153024,2024,3.0,10.304406199384934,0.2977126368066162
一品字蕴,0.853167556748802,2024,3.0,8.07444930717696,0.1134313612058835
一念阁 | 设计,0.40139553944291184,2024,12.000000000000002,10.51355201642012,0.5087476283850297
一惠科技,0.7164004279645975,2024,2.0,8.740093943996746,0.6026072317796476
一月先生,0.92838987056307,2024,1.0,5.827642470572461,0.0327586187896552
一濒箫声,0.930838607247986,2024,4.0,6.030302429102322,0.2499999954375001
一点六工作室,0.9455496061466468,2024,2.0,6.622900665787055,0.4332349385099067
一点天青设计工作室,0.8045382717552674,2024,1.0,6.9026987983732,0.1411600088958796
一点星河科技,0.7313169903208211,2024,3.0000000000000004,8.860861375152108,0.5406068234788778
一禾平面设计工作室,0.8291591208526471,2024,1.0,5.968158140344316,0.2100877041719308
一诺创意设计,0.34610450772490386,2024,4.0,9.638589758467312,0.3188367184123054
一高网络工作室,0.4743965317647586,2024,2.0,9.681160295857074,0.2992507728476028
七分云创意,0.34610450772489687,2024,18.0,9.638589758467312,0.318836793799471
三和创意,0.8866290403657483,2024,1.0000000000000002,6.825706343409257,0.130571846996523
三日视觉设计工作室,0.9814483919200614,2024,1.0,2.584962500721156,0.0
上海当然广告有限公司,0.37489607115202495,2024,6.0,10.343800540127305,0.5598769074600198
上海德初网络科技有限公司,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
上海瀚学信息科技,0.8244747774339101,2024,2.0,8.434558131875862,0.0559271049608542
上海电晶信息科技有限公司,0.8371923525153186,2024,1.9999999999999991,6.6332096556969855,0.0192156853137255
上海诺构软件技术有限公司,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
上海都常亮品牌策划品牌设计,0.6725915096421285,2024,1.0,7.243456547944493,0.1867532140714342
上海闵鸟科技有限公司,0.8244747774339101,2024,2.0,8.434558131875862,0.0559271049608542
上海骁澄技术有限公司,0.49409265647912215,2024,12.0,10.193560501121953,0.5161837304510899
上海魅匠网络科技有限公司,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
与世无争视觉策划,0.422861733415304,2024,3.999999999999999,10.304406199384928,0.2977126883108756
专业文案撰写,0.9785692869044401,2024,0.9999999999999998,2.807354922057604,1.5860328812194222e-17
世豪网络,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
东方创意,0.38011423805072864,2024,7.0,10.387963935248743,0.3421635682982716
东田品牌设计,0.422861733415304,2024,0.9999999999999996,10.304406199384928,0.2977122247731822
东阳市卓林影视传媒,0.8887888616988364,2024,1.0,6.204345591588047,0.2030253137229833
中泰企服,0.767431965016484,2024,3.0,8.088972923460922,0.6407682274634074
中芯维创数字科技（福建）有限公司,0.7900376115267849,2024,3.0,6.7991060065207085,0.1409467791998603
中软智慧-专精特新企业,0.4743965317647586,2024,2.0,9.681160295857074,0.2992507728476028
丰云科技有限公司,0.47439653176476704,2024,3.0000000000000004,9.681160295857074,0.2992508352413628
丽卿云商,0.8836767238820668,2024,1.0,4.906890595608518,3.70074330439489e-18
久滴科技（北京）有限公司,0.9226844900353997,2024,1.0000000000000002,6.527750345173054,0.0205998848980194
么牛科技,0.7762562749349298,2024,1.0,6.993530431666635,0.1189689800966818
义乌盛歌网络科技,0.8164602615295715,2024,4.0,8.769298099916117,0.6809158651192734
乐翔编码,0.8274478069009912,2024,10.0,8.272219490282879,0.6013727849213272
九天创想,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
九臣原创设计,0.8531675567488014,2024,1.0,8.07444930717696,0.113431338519618
书籍推荐,0.9699941108853861,2024,1.0,5.4767253953035056,0.1193181760909093
于男,0.9632737937284513,2024,2.0000000000000004,5.412853171704633,0.5325078684428369
于贤PPT,0.7686065671336064,2024,4.0,6.495416168632639,0.2916370299882259
云代码科技,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
云南南强信息,0.8140346347473152,2024,7.0,8.890430691935496,0.7257322106167571
云启创智网络科技有限公司,0.5542024542352708,2024,3.0,9.85265373086758,0.5381324084620559
云风工作室,0.92838987056307,2024,1.0,5.827642470572461,0.0327586187896552
产出,0.9674628325824294,2024,1.0,6.122152023829213,0.0394444416044446
亮点工作室,0.5382362406330227,2024,3.0,9.81775275048216,0.5407321436634054
亿帆文创,0.9393356325094231,2024,2.0,5.505850256822825,0.5244067534406792
企大咖科技,0.3167377576498567,2024,20.0,10.089591685438537,0.6413296157408294
企艺视界,0.422861733415304,2024,0.9999999999999996,10.304406199384928,0.2977122247731822
伍盟工作室,0.8866633010683682,2024,1.0,7.109700542914597,0.0730041042757218
众创至优,0.521341308375924,2024,5.000000000000001,9.08196461190017,0.4459200935201928
众腾传媒,0.6511973839902344,2024,17.0,9.522459166024484,0.6854100117853914
